instance_file,n_items,capacity,total_weight,total_value,feasible,inference_time_ms,selected_items
instance_0469.npz,191,760,760,971,1,4.975799995008856,"[20, 28, 47, 62, 68, 78, 79, 114, 120, 141, 153, 165, 174]"
instance_0470.npz,100,635,635,798,1,2.221700007794425,"[10, 12, 22, 30, 39, 41, 43, 57, 67, 70, 75, 77, 80, 83]"
instance_0471.npz,130,210,210,267,1,0.6673999887425452,"[24, 51, 52, 56, 70, 126]"
instance_0472.npz,106,795,795,995,1,3.08620001305826,"[4, 13, 14, 21, 27, 30, 43, 52, 56, 57, 64, 65, 76, 81, 84]"
instance_0473.npz,159,756,756,953,1,4.106600012164563,"[3, 22, 24, 44, 48, 55, 77, 87, 99, 105, 110, 128, 134, 136, 137, 139, 155]"
instance_0474.npz,153,362,362,461,1,1.6381999885197729,"[5, 12, 41, 79, 102, 131]"
instance_0475.npz,156,648,648,824,1,3.395100007764995,"[12, 19, 22, 29, 30, 31, 43, 49, 70, 76, 93, 110, 112]"
instance_0476.npz,129,259,259,330,1,0.8227000071201473,"[2, 46, 51, 87]"
instance_0477.npz,189,227,227,293,1,1.0250999766867608,"[18, 90, 137]"
instance_0478.npz,168,291,291,370,1,1.3036000018473715,"[9, 26, 84, 105, 118]"
instance_0479.npz,200,547,547,699,1,3.4269999887328595,"[53, 104, 125, 134, 144, 162, 190]"
instance_0480.npz,127,230,230,293,1,0.6792000203859061,"[2, 12, 17, 27]"
instance_0481.npz,105,621,621,782,1,2.2745000023860484,"[13, 23, 25, 32, 38, 46, 60, 63, 76, 81, 84, 90]"
instance_0482.npz,165,343,343,440,1,1.5192000137176365,"[5, 23, 42, 51, 61, 77]"
instance_0483.npz,187,716,716,914,1,4.401100013637915,"[9, 10, 20, 21, 36, 43, 64, 101, 106, 115, 127]"
instance_0484.npz,93,291,291,369,1,0.7585999846924096,"[8, 29, 35, 48, 58]"
instance_0485.npz,169,322,322,412,1,1.4506000152323395,"[16, 33, 40, 79, 80, 126]"
instance_0486.npz,152,746,746,947,1,3.8192999782040715,"[10, 26, 28, 45, 52, 53, 78, 94, 101, 103, 106, 107, 113, 141, 150]"
instance_0487.npz,182,247,247,313,1,1.062900002580136,"[12, 15, 50, 51, 91, 94, 105, 115]"
instance_0488.npz,142,674,674,852,1,3.253500006394461,"[17, 20, 24, 25, 31, 32, 33, 35, 46, 77, 83, 91]"
instance_0489.npz,81,322,322,410,1,0.7536999764852226,"[28, 54, 55, 58, 63, 64]"
instance_0490.npz,121,677,677,851,1,3.304699988802895,"[3, 12, 21, 55, 57, 71, 87, 94, 99, 100, 102, 107, 111, 116]"
instance_0491.npz,193,396,396,508,1,3.1106999958865345,"[3, 26, 65, 69, 108, 129, 163]"
instance_0492.npz,123,269,269,342,1,0.8170999935828149,"[8, 34, 36, 83, 116]"
instance_0493.npz,184,379,379,484,1,2.1326999994926155,"[4, 17, 43, 44, 74, 82, 117]"
instance_0494.npz,116,503,503,638,1,1.9223999988753349,"[9, 15, 42, 45, 71, 79, 100, 103, 111]"
instance_0495.npz,157,289,289,370,1,1.1716999870259315,"[6, 75, 78, 80, 88, 101, 114]"
instance_0496.npz,153,476,476,609,1,2.2564999817404896,"[12, 16, 34, 36, 47, 70, 103, 131]"
instance_0497.npz,160,319,319,408,1,1.3857999874744564,"[2, 9, 72, 76, 82, 97]"
instance_0498.npz,123,367,367,467,1,1.3172999897506088,"[3, 25, 34, 35, 50, 81, 88, 116]"
instance_0499.npz,173,544,544,692,1,2.9068999865558,"[32, 39, 44, 56, 75, 77, 78, 142]"
instance_0500.npz,102,481,481,606,1,1.6102000081446022,"[2, 10, 12, 18, 29, 43, 50, 92, 96]"
instance_0501.npz,179,473,473,599,1,2.5138999917544425,"[11, 12, 13, 39, 96, 105, 117, 129, 147, 166]"
instance_0502.npz,155,318,318,408,1,1.6857000009622425,"[16, 33, 91, 98, 102, 143]"
instance_0503.npz,95,766,766,948,1,2.5316000101156533,"[0, 3, 11, 12, 15, 18, 19, 21, 23, 29, 33, 43, 45, 56, 86, 87, 91]"
instance_0504.npz,183,240,240,309,1,1.0846999939531088,"[56, 61, 72, 145]"
instance_0505.npz,194,342,342,439,1,1.9135999900754541,"[6, 11, 50, 68, 74, 149]"
instance_0506.npz,107,427,427,540,1,1.414500002283603,"[2, 12, 22, 27, 43, 57, 64, 67, 96]"
instance_0507.npz,169,593,593,755,1,3.3426999871153384,"[22, 27, 30, 43, 59, 65, 69, 92, 117, 131]"
instance_0508.npz,138,509,509,643,1,2.3443000100087374,"[15, 24, 25, 62, 64, 82, 87, 110, 126]"
instance_0509.npz,150,444,444,565,1,2.0321999909356236,"[24, 47, 66, 89, 90, 93, 138]"
instance_0510.npz,177,397,397,508,1,2.049200003966689,"[34, 58, 64, 86, 92, 101, 153]"
instance_0511.npz,135,598,598,754,1,2.593799988972023,"[1, 21, 45, 62, 71, 75, 77, 86, 94, 105, 132]"
instance_0512.npz,133,275,275,345,1,0.9588999964762479,"[19, 25, 32, 50, 56, 76]"
instance_0513.npz,93,588,588,747,1,1.865800004452467,"[2, 6, 25, 31, 32, 34, 37, 41, 42, 48, 54]"
instance_0514.npz,82,434,434,548,1,1.2895999825559556,"[0, 28, 46, 48, 51, 62, 66, 69, 77, 81]"
instance_0515.npz,166,490,490,622,1,2.5471999833825976,"[5, 27, 34, 59, 77, 82, 98, 112, 133, 145, 148]"
instance_0516.npz,95,327,327,413,1,0.8890999888535589,"[9, 13, 25, 30, 32, 33, 58, 91]"
instance_0517.npz,143,659,659,844,1,2.9895000043325126,"[1, 5, 10, 34, 45, 50, 57, 62, 75]"
instance_0518.npz,168,585,585,742,1,3.2059000222943723,"[3, 26, 56, 79, 100, 108, 135, 143, 146, 148]"
instance_0519.npz,152,375,375,481,1,1.630100014153868,"[14, 20, 59, 63, 117, 139]"
instance_0520.npz,187,732,732,926,1,4.919700004393235,"[4, 26, 76, 82, 85, 96, 99, 130, 138, 143, 170, 176]"
instance_0521.npz,111,338,338,431,1,1.0729999921750277,"[14, 17, 32, 43, 66, 69, 70, 107]"
instance_0522.npz,130,469,469,596,1,1.852800021879375,"[7, 11, 43, 50, 81, 93]"
instance_0523.npz,199,602,602,765,1,3.697800013469532,"[10, 29, 35, 58, 61, 64, 129, 131, 163, 164, 182]"
instance_0524.npz,153,696,696,876,1,3.6334999895188957,"[2, 11, 25, 51, 60, 68, 76, 94, 97, 124, 134]"
